MaterialType,Taxa
土壌（暗灰色シルト）,
土壌腐食,
土壌(地山),
土壌（腐植質粘土）,
土壌(Humin),
土壌（ヒューミン）,
土壌(ヒューミンを抽出),
土壌腐植,
土壌(腐植層),
土壌(腐植質シルト),
土壌(腐植土),
土壌に含まれる炭化物,
土壌に含まれる有機物,
土壌に含まれる木片,
土壌中炭化物,
土壌中腐植,
土混じり木炭片,
土壌混炭化物,
土壌混じりの炭化物,
土壌有機物,
土壌(有機質粘土),
土壌（有機質粘土）,
土壌（有機質シルト）,
土壌（有機質シルト、砂混じり）,
土壌（土壌有機物：フミン）,
土(根少量混入),
土壌(未分解草本質泥炭),
土付き炭化物,
