"MaterialType" "Materials_Details_EN" "Notes"
"29890" "ナラガシワ(堅果)" "nut Asian white oak (Quercus aliena​)" ""
"5518" "ナラ類" "oaks" ""
"21576" "ニホンジカ 大腿骨" "sika deer (Cervus nippon) femur" ""
"13767" "ニホンジカまたはニホンイノシシ下顎骨下端部" "wild boar (Sus scrofa) sika deer (Cervus nippon) manidble" ""
"20854" "ニホンジカ上顎骨" "sika deer (Cervus nippon) upper jaw" ""
"20856" "ニホンジカ肩甲骨" "sika deer (Cervus nippon) scapula" ""
"13765" "ニホンジカ角" "sika deer (Cervus nippon) antler/horn" ""
"20807" "ニホンジカ足根骨" "sika deer (Cervus nippon) tarsus" ""
"9997" "ニワトコ種子" "seed Elderberry (Sambucus sp.)" ""
"5560" "ヌルデ" "Chinese sumac (Brucea javanica syn. Rhus)​" ""
"31037" "ネコ脛骨" "cat (Felis, Prionailurus) tibia" ""
"43925" "ネズミ(大腿骨)"  "Needs translation"
"27111" "ハイガイ" "igai mussel (Mytilus coruscus)​" ""
"29782" "ハイガイ(H1)" "igai mussel (Mytilus coruscus)​" ""
"29783" "ハイガイ(H2)" "igai mussel (Mytilus coruscus)​" ""
"29784" "ハイガイ(H3)" "igai mussel (Mytilus coruscus)​" ""
"29931" "ハイガイ①" "igai mussel (Mytilus coruscus)​" ""
"29932" "ハイガイ②" "igai mussel (Mytilus coruscus)​" ""
"29963" "ハイガイ③" "igai mussel (Mytilus coruscus)​" ""
"29843" "ハイガイH1" "igai mussel (Mytilus coruscus)​" ""
"29844" "ハイガイH2" "igai mussel (Mytilus coruscus)​" ""
"29845" "ハイガイH3" "igai mussel (Mytilus coruscus)​" ""
"6137" "バカガイ" "trough shell (Mactra chinensis)" ""
"5420" "ハマグリ" "asian hard clam (Meretrix lusoria)​" ""
"7661" "ハマグリ･カキ" "oysters (Ostreidae) asian hard clam (Meretrix lusoria)​" ""
"5899" "ハマグリ右殻" "asian hard clam (Meretrix lusoria)​" ""
"6140" "ハマグリ貝殻" "asian hard clam (Meretrix lusoria)​" ""
"18554" "ハンノキ属" "alder (Alnus sp.)​" ""
"33646" "ハンノキ属幹" "alder (Alnus sp.)​" ""
"6935" "ハンノキ属果序" "catkin (inflorescence) alder (Alnus sp.)​" ""
"6934" "ハンノキ属果鱗" "fruit scale alder (Alnus sp.)​" ""
"6902" "ハンノキ属鱗片" "fruit scale alder (Alnus sp.)​" ""
