MaterialType,Taxa
丸木舟1号(ヒノキ属),Chamaecyparis sp.
丸木舟2号(ヒノキ属),Chamaecyparis sp.
貝(イワガキ),Crassostrea nippona
土器付着物・外面,
炭化材(クヌギ節:2年輪),Quercus section Cerris [acutissima]
炭化材(クヌギ節:1年輪),Quercus section Cerris [acutissima]
炭化材(クヌギ節:4年輪),Quercus section Cerris [acutissima]
炭化材(散孔材:5年輪),
炭化材(クヌギ節:3年輪),Quercus section Cerris [acutissima]
自然木(サクラ属),Cerasus sp.
自然木(スダジイ),Castanopsis sieboldii subsp. sieboldii
板材(ハンノキ亜属),Alnus sp. subgenus Alnus
ローム試料,
オニグルミ核,Juglans mandshurica
炭,
シカの歯,Cervidae
骨(シカ？),Cervus sp.
泥炭,
樹木片,
炭化材(コナラ属クヌギ節),Quercus section Cerris [acutissima]
生材(樹皮の内側1年輪目(1年輪分)) 最外年輪 ケヤキ,Zelkova serrata
生材(外から11年輪目(1年輪分)) ケヤキ,Zelkova serrata
生材(外から21年輪目(1年輪分)) ケヤキ,Zelkova serrata
生材(外から1年〜5年輪目の5年分(中心は3年輪目)) 最外部年輪 モミ属,Abies sp.
生材(外から11年〜15年輪目の5年分(中心は13年輪目)) モミ属,Abies sp.
生材(外から21年〜25年輪目の5年分(中心は23年輪目)) モミ属,Abies sp.
生材(外から31年〜35年輪目の5年分(中心は33年輪目)) モミ属,Abies sp.
生材(外から41年〜45年輪目の5年分(中心は43年輪目)) モミ属,Abies sp.
生材(樹皮の内側1年目(1年輪)) 最外年輪 モミ属,Abies sp.
腐植質土壌,
木(トウヒ属),Picea sp.
腐植質堆積物,
炭化種子,Plantae (seed)
歯(ヒト臼歯),Homo sapiens
クリ,Castanea crenata
トチノキ,Aesculus turbinata
木材(コナラ属コナラ亜属),Quercus subgen. Quercus
炭化物(樹木片),
炭化材(コナラ属コナラ亜属クヌギ節),Quercus section Cerris [acutissima]
炭化材(タラノキ),Aralia elata
炭化材(カヤ),Torreya nucifera
木片(クリ),Castanea crenata
木片(カエデ属),Acer sp.
木片(ムクノキ),Aphananthe aspera
木片(コナラ属コナラ亜属クヌギ節),Quercus section Cerris [acutissima]
木の実(トチ),Aesculus turbinata
木の実(クルミ),Juglans sp.
材(コナラ節),Quercus sect. Quercus
生木(モミ属),Abies sp.
流木片,
貝殻(ヤマトシジミ),Corbicula japonica 
炭化米(イネ胚乳),Oryza sativa
土壌,
炭化材(ヤマグワ),Morus australis
独木舟(ニレ属),Ulmus sp.
炭化物(クリ),Castanea crenata
土(根少量混入),
木材(トウヒ属),Picea sp.
炭化材(コナラ属コナラ亜属コナラ節),Quercus subgen. Quercus
木片,
炭化材(ヌルデ),Brucea javanica
炭化材(広葉樹),Angliosperms
炭化材(コナラ属アカガシ亜属),Quercus subgenus Cyclobalanopsis
木片(モミ属),Abies sp.
人骨 左上顎切歯歯根部,Homo sapiens
人骨 左大腿骨,Homo sapiens
人骨 骨盤,Homo sapiens
人骨 尺骨,Homo sapiens
人骨 頸骨,Homo sapiens
人骨 臼歯,Homo sapiens
炭化材(トチノキ),Aesculus turbinata
炭化植物遺体(タケ),Bambusoideae
炭化物(コナラ属クヌギ節),Quercus section Cerris [acutissima]
肋骨,Animalia (bone)
右大腿骨,Animalia (bone)
左側頭骨,Animalia (bone)
木材(マツ属複維管束亜属),Pinus subgenus. Pinus
木材(イヌガヤ),Cephalotaxus harringtonia
木材,
炭化米,Oryza sativa
丸太杭,
杭,
炭化物(コナラ属コナラ節),Quercus sect. Quercus
材化石,
泥炭質土壌,
炭化物(ヤナギ属),Salix sp.
腐食質土壌,
粘土,
炭化材(クヌギ節),Quercus section Cerris [acutissima]
木片(タケ亜科),Bambusoideae
木材(クリ),Castanea crenata
