"MaterialTypeUniqueID","Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
1707,"Charred Remain","炭化材(アマネザサ等)",NA,FALSE
1708,"Charred Remain","炭化材(アワブキ､アワブキ科)",NA,FALSE
1709,"Charred Remain","炭化材(アワブキ)",NA,FALSE
1710,"Charred Remain","炭化材(アワブキ属)",NA,FALSE
1711,"Charred Remain","炭化材(アワブキ属アカガシ亜属)",NA,FALSE
1712,"Charred Remain","炭化材(アワブキ科アワブキ属)",NA,FALSE
1713,"Charred Remain","炭化材(イイギリ)",NA,FALSE
1714,"Charred Remain","炭化材(イスノキ)",NA,FALSE
1715,"Charred Remain","炭化材(イスノキ近似種)",NA,FALSE
1716,"Charred Remain","炭化材(イチイガシ)",NA,FALSE
1717,"Charred Remain","炭化材(イヌエンジュ)",NA,FALSE
1718,"Charred Remain","炭化材(イヌガヤ･スダジイ)",NA,FALSE
1719,"Charred Remain","炭化材(イヌガヤ)",NA,FALSE
1720,"Charred Remain","炭化材(イヌザンショウ)",NA,FALSE
1721,"Charred Remain","炭化材(イヌシデ節)",NA,FALSE
1722,"Charred Remain","炭化材(イネ科)",NA,FALSE
1723,"Charred Remain","炭化材(イネ科タケ亜科)",NA,FALSE
1724,"Charred Remain","炭化材（イネ科タケ亜科）",NA,FALSE
1725,"Charred Remain","炭化材(イネ科タケ亜科)、炭化種実(不明種実)",NA,FALSE
1726,"Charred Remain","炭化材(イネ科タケ亜科の一種)",NA,FALSE
1727,"Charred Remain","炭化材(イネ科稈)",NA,FALSE
1728,"Charred Remain","炭化材(イネ科茎)",NA,FALSE
1729,"Charred Remain","炭化材(イボタノキ属)",NA,FALSE
1730,"Charred Remain","炭化材(ウコギ属)",NA,FALSE
1731,"Charred Remain","炭化材(ウコギ科)",NA,FALSE
1732,"Charred Remain","炭化材(ウツギ属)",NA,FALSE
1733,"Charred Remain","炭化材(ウルシ?)",NA,FALSE
1734,"Charred Remain","炭化材(ウルシ属)",NA,FALSE
1735,"Charred Remain","炭化材(エゴノキ属, モミ属)",NA,FALSE
1736,"Charred Remain","炭化材(エゴノキ属?)",NA,FALSE
1737,"Charred Remain","炭化材(エゴノキ属)",NA,FALSE
1738,"Charred Remain","炭化材(エゴノキ属近似種)",NA,FALSE
1739,"Charred Remain","炭化材(エノキ属)",NA,FALSE
1740,"Charred Remain","炭化材（エノキ属）",NA,FALSE
1741,"Charred Remain","炭化材(オニグルミ･クリ)",NA,FALSE
1742,"Charred Remain","炭化材(オニグルミ、カエデ属、ケンポナシ属)",NA,FALSE
1743,"Charred Remain","炭化材(オニグルミ、カエデ属、トネリコ属)",NA,FALSE
1744,"Charred Remain","炭化材(オニグルミ、クリ)",NA,FALSE
1745,"Charred Remain","炭化材（オニグルミ(5)）",NA,FALSE
1746,"Charred Remain","炭化材(オニグルミ)",NA,FALSE
1747,"Charred Remain","炭化材（オニグルミ）",NA,FALSE
1748,"Charred Remain","炭化材(オニグルミ近似種)",NA,FALSE
1749,"Charred Remain","炭化材(カエデ属、ブナ属)",NA,FALSE
1750,"Charred Remain","炭化材（カエデ属(5)）",NA,FALSE
1751,"Charred Remain","炭化材(カエデ属)",NA,FALSE
1752,"Charred Remain","炭化材（カエデ属）",NA,FALSE
1753,"Charred Remain","炭化材(カエデ属の一種)",NA,FALSE
1754,"Charred Remain","炭化材(カエデ科カエデ属)",NA,FALSE
1755,"Charred Remain","炭化材(カキノキ属)",NA,FALSE
1756,"Charred Remain","炭化材(カシノキ属)",NA,FALSE
1757,"Charred Remain","炭化材(カツラ)",NA,FALSE
1758,"Charred Remain","炭化材(カバノキ属)",NA,FALSE
1759,"Charred Remain","炭化材(カバノキ科)",NA,FALSE
1760,"Charred Remain","炭化材(ガマズミ属)",NA,FALSE
1761,"Charred Remain","炭化材(カマツカ)",NA,FALSE
1762,"Charred Remain","炭化材（カマド内）",NA,FALSE
1763,"Charred Remain","炭化材(カヤ)",NA,FALSE
1764,"Charred Remain","炭化材（カヤ）",NA,FALSE
1765,"Charred Remain","炭化材(カヤコナラ属アカガシ亜属 広葉樹(散孔材) 広葉樹(樹皮))",NA,FALSE
1766,"Charred Remain","炭化材(カラマツまたはトウヒ属)",NA,FALSE
1767,"Charred Remain","炭化材(カラマツ属)",NA,FALSE
1768,"Charred Remain","炭化材(カラマツ属orトウヒ属)",NA,FALSE
1769,"Charred Remain","炭化材(カラマツ属またはトウヒ属)",NA,FALSE
1770,"Charred Remain","炭化材(キハダ)",NA,FALSE
1771,"Charred Remain","炭化材（キハダ）",NA,FALSE
1772,"Charred Remain","炭化材(キハダ属)",NA,FALSE
1773,"Charred Remain","炭化材(キハダ近似種)",NA,FALSE
1774,"Charred Remain","炭化材(キリ)",NA,FALSE
1775,"Charred Remain","炭化材(クサギ)",NA,FALSE
1776,"Charred Remain","炭化材(クスノキ)",NA,FALSE
1777,"Charred Remain","炭化材（クスノキ）",NA,FALSE
1778,"Charred Remain","炭化材(クスノキ科)",NA,FALSE
1779,"Charred Remain","炭化材（クスノキ科）",NA,FALSE
1780,"Charred Remain","炭化材(クスノキ科クスノキ属ヤブニッケイ)",NA,FALSE
1781,"Charred Remain","炭化材(クスノキ科シロダモ属)",NA,FALSE
1782,"Charred Remain","炭化材(クヌギ･コナラ?)",NA,FALSE
1783,"Charred Remain","炭化材(クヌギ･コナラ)",NA,FALSE
1784,"Charred Remain","炭化材(クヌギ節,4年輪)",NA,FALSE
1785,"Charred Remain","炭化材(クヌギ節:1年輪)",NA,FALSE
1786,"Charred Remain","炭化材(クヌギ節:2年輪)",NA,FALSE
1787,"Charred Remain","炭化材(クヌギ節:3年輪)",NA,FALSE
1788,"Charred Remain","炭化材(クヌギ節:4年輪)",NA,FALSE
1789,"Charred Remain","炭化材(クヌギ節)",NA,FALSE
1790,"Charred Remain","炭化材（クヌギ節）",NA,FALSE
1791,"Charred Remain","炭化材(クヌギ節の一種)",NA,FALSE
1792,"Charred Remain","炭化材(クヌギ類)",NA,FALSE
1793,"Charred Remain","炭化材(クマシデ属)",NA,FALSE
1794,"Charred Remain","炭化材(クマシデ属イヌシデ節,クリ)",NA,FALSE
1795,"Charred Remain","炭化材(クマシデ属イヌシデ節)",NA,FALSE
1796,"Charred Remain","炭化材(クマシデ属クマシデ設)",NA,FALSE
1797,"Charred Remain","炭化材(クマシデ節)",NA,FALSE
1798,"Charred Remain","炭化材(クマノミズキ類)",NA,FALSE
1799,"Charred Remain","炭化材(グミ)",NA,FALSE
1800,"Charred Remain","炭化材(グミ属)",NA,FALSE
1801,"Charred Remain","炭化材(クリ-コナラ属コナラ節)",NA,FALSE
1802,"Charred Remain","炭化材(クリ-コナラ節)",NA,FALSE
1803,"Charred Remain","炭化材(クリ･イネ科タケ亜科)",NA,FALSE
1804,"Charred Remain","炭化材(クリ･キハダ)",NA,FALSE
1805,"Charred Remain","炭化材(クリ･スノキ属)(部位不明)",NA,FALSE
1806,"Charred Remain","炭化材(クリ･タケ亜科)",NA,FALSE
1807,"Charred Remain","炭化材(クリ, ケンポナシ属)",NA,FALSE
1808,"Charred Remain","炭化材(クリ, コナラ)",NA,FALSE
1809,"Charred Remain","炭化材(クリ, 広葉樹)",NA,FALSE
1810,"Charred Remain","炭化材(クリ,カエデ属)",NA,FALSE
1811,"Charred Remain","炭化材(クリ,ブナ属)",NA,FALSE
1812,"Charred Remain","炭化材(クリ、カエデ属)",NA,FALSE
1813,"Charred Remain","炭化材(クリ、サクラ属、カエデ属、ブナ属)",NA,FALSE
1814,"Charred Remain","炭化材(クリ、マツ属複維管束亜属)",NA,FALSE
1815,"Charred Remain","炭化材(クリ、ヤマグワ)",NA,FALSE
1816,"Charred Remain","炭化材（クリ、最終形成年輪、外側4年輪分）",NA,FALSE
1817,"Charred Remain","炭化材(クリ、広葉樹)",NA,FALSE
1818,"Charred Remain","炭化材(クリ、散孔材)",NA,FALSE
1819,"Charred Remain","炭化材(クリ、樹皮)",NA,FALSE
1820,"Charred Remain","炭化材(クリ:1年輪分)",NA,FALSE
1821,"Charred Remain","炭化材(クリ?)",NA,FALSE
1822,"Charred Remain","炭化材(クリ)",NA,FALSE
1823,"Charred Remain","炭化材(クリ）",NA,FALSE
1824,"Charred Remain","炭化材（クリ）",NA,FALSE
1825,"Charred Remain","炭化材(クリ) 2年輪",NA,FALSE
1826,"Charred Remain","炭化材(クリ)･土壌",NA,FALSE
1827,"Charred Remain","炭化材(クリ−シイノキ属)",NA,FALSE
1828,"Charred Remain","炭化材(クリまたはコナラ節)",NA,FALSE
1829,"Charred Remain","炭化材(クリまたはシイノキ属)",NA,FALSE
1830,"Charred Remain","炭化材(クリまたはシイ属)",NA,FALSE
1831,"Charred Remain","炭化材(クリ材)",NA,FALSE
1832,"Charred Remain","炭化材(クリ近似種)",NA,FALSE
1833,"Charred Remain","炭化材(クリ類似種)",NA,FALSE
1834,"Charred Remain","炭化材(クルミ属)",NA,FALSE
1835,"Charred Remain","炭化材(クロモジ属)",NA,FALSE
1836,"Charred Remain","炭化材(クワ)",NA,FALSE
1837,"Charred Remain","炭化材(クワ属)",NA,FALSE
1838,"Charred Remain","炭化材(クワ属＆クマシデ属)",NA,FALSE
1839,"Charred Remain","炭化材(ケヤキ、シキミ)",NA,FALSE
1840,"Charred Remain","炭化材(ケヤキ)",NA,FALSE
1841,"Charred Remain","炭化材（ケヤキ）",NA,FALSE
1842,"Charred Remain","炭化材(ケンポナシ)",NA,FALSE
1843,"Charred Remain","炭化材(ケンポナシ属)",NA,FALSE
1844,"Charred Remain","炭化材(コウヤマキ)",NA,FALSE
