"Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
"Human Bone","人骨(肋骨)",NA,FALSE
"Human Bone","人骨(長骨)",NA,FALSE
"Human Bone","人骨（頭蓋片、眼窩上部の破片）",NA,FALSE
"Human Bone","人骨(頭骨)",NA,FALSE
"Human Bone","人骨(骨片)",NA,FALSE
"Human Bone","人骨片(部位不明)",NA,FALSE
"Charred Remain","住居内採取炭化物　炭化材（クリ）",NA,FALSE
"Other Charred Remains","住居内採取炭化物　炭質物",NA,FALSE
"Wood","倒木(ヤマグワ)",NA,FALSE
"Animal Bone","偶蹄類臼歯",NA,FALSE
"Wood","先端加工材(イヌガヤ)",NA,FALSE
"Wood","先端加工材(ウメ)",NA,FALSE
"Humic substances ","全腐植",NA,FALSE
"Wood","出土木（枝）",NA,FALSE
"Wood","出土木（葉）",NA,FALSE
"Wood","出土木製品（軸）",NA,FALSE
"Soil","分解の進んだ植物遺体（草本）",NA,FALSE
"Peat","分解質泥炭",NA,FALSE
"Wood","割り木",NA,FALSE
"Wood","割枕",NA,FALSE
"Wood","加工材(クヌギ節)",NA,FALSE
"Wood","加工材(モモ)",NA,FALSE
"Animal Bone","動物歯牙（キツネ下顎犬歯）",NA,FALSE
"Animal Bone","動物遺存体　ウマ　右大腿骨骨頭",NA,FALSE
"Animal Bone","動物骨",NA,FALSE
"Fish bone","動物骨　クジラ目イルカ類?　肋骨",NA,FALSE
"Animal Bone","動物骨(シカ中手骨)",NA,FALSE
"Animal Bone","動物骨片",NA,FALSE
"Charred Remain","単子葉植物(イネ科)",NA,FALSE
"Charred Remain","単子葉植物茎",NA,FALSE
"Human Bone","右大腿骨",NA,TRUE
NA,"右大腿骨",NA,TRUE
NA,"右肋骨",NA,FALSE
"Human Bone","右腓骨",NA,FALSE
NA,"右骨盤",NA,FALSE
"Animal Bone","哺乳類四肢骨骨幹部",NA,FALSE
"Animal Bone","四肢骨片(ウシ）",NA,FALSE
"Soil","土",NA,FALSE
"Soil","土(根少量混入)",NA,FALSE
"Organic Residue from Pottery","土付き炭化物",NA,FALSE
"Organic Residue from Pottery","土器に付く炭化物",NA,FALSE
